SOURCE_FILE,ROOT_PART_NUM,LATEST_PART_NUM,PART_DESC,PURCHASE_PRICE,MINIMUM_ORDER_QTY,LOC_CD,SLF_FACTOR,LEAD_TIME,ORDER_CYCLE,ALPHA_VAL,BETA_VAL,TRANS_COUNT_6_MONTH,STANDARD_DEVIATION,AVG_CONSUMPTION,WT_AVG_CONSUMPTION,MIN_ORDER_LEVEL,RE_ORDER_LEVEL,MAX_ORDER_LEVEL,OLD_MAX_LVL,STOCK_QTY,ON_ORDER_QTY,CUST_BACK_ORDER,OLD_CBO,SOQ_QTY,PARENT_GROUP,DEALER_MAP_CD,COMP_FA,PART_FAMILY_AGE,DEAD_STOCK_YN
SOQ_18-12-2025,71741M82P00-5PK,71741M82P00-5PK,GRILLE RADIATOR UPPER,575.49,1,THN,1.64,4,3,0,0,7,2.43,0.67,0.39,0.36,1,1,1,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71742M76M10-0PG,71742M76M10-0PG,GARNISH RADIATOR GRILLE UPR R,109.83,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71743M85S00-0PG,71743M85S00-0PG,GARNISH RADIATOR GRILLE UPR L,531.6,1,THN,1.64,4,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71744M76M10-0PG,71744M76M10-0PG,GARNISH RADIATOR GRILLE LWR R,109.83,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71745M76M10-0PG,71745M76M10-0PG,GARNISH RADIATOR GRILLE LWR L,99.5,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71750M64M10-C48,71750M64M10-C48,BEZEL FRONT FOG LAMP R(CHROME,145.36,1,THN,1.64,5,3,0,0,1,0,0.33,0.45,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71750M84P10-C48,71750M84P10-C48,BEZEL  FRONT FOG LAMP RH,430.83,1,THN,1.64,4,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71751M54T10-5PK,71751M54T10-5PK,BEZEL FRONT FOG LAMP RH,113.06,1,THN,1.64,4,3,15,7,6,1.56,1.33,1.02,0.84,1.08,2,2,3,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71751M55U10-5PK,71751M55U10-5PK,BEZEL FRONT FOG LAMP R,41.99,1,THN,1.64,5,3,0,0,1,0,0.33,0.35,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71751M76MA0-5PK,71751M76MA0-5PK,BEZEL FRONT FOG LAMP R,572.34,1,THN,1.64,4,3,0,0,6,1.56,1.33,0.7,0.42,1,1,1,0,1,1,1,1,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71750M79G10,71751M79G10,STAY FRONT BUMPER,56.97,1,THN,1.64,4,3,0,0,1,0,0.67,0.4,0,0,0,0,4,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71751M79M00-5PK,71751M79M00-5PK,BEZEL FRONT FOG LAMP R,80.76,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,3,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71752M66T00,71752M66T00,GUIDE GRILLE AIR LOWER R,41.35,1,THN,1.64,5,3,0,0,1,0,0.33,0.2,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71760M82R00-N1V,71760M82RV0-N1V,BEZEL  FRONT FOG LAMP  L,410.24,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71761M67L00-5PK,71761M67L00-5PK,BEZEL FR FOG LAMP L(BLACK),58.87,1,THN,1.64,4,3,,,0,,0,0,,0,0,0,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71761M68P10-5PK,71761M68P10-5PK,BEZEL FRONT FOG LAMP L(BLACK),44.31,1,THN,1.64,5,3,45,30,5,2.32,0.67,0.46,0.92,1.04,2,2,3,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71761M69R00-5PK,71761M69R00-5PK,BEZEL FRONT FOG LAMP L,29.72,1,THN,1.64,5,3,,,0,,0,0,,0,0,0,6,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71761M82P10-5PK,71761M82P10-5PK,BEZEL FRONT FOG LAMP L,72.8,1,THN,1.64,4,3,30,15,6,3.68,0.33,0.56,1.07,1.2,2,2,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71771M72S00-PER,71771M72S00-PER,GARNISH FR BUMPER LOWER,474.19,1,THN,1.64,4,3,7,7,7,2.43,0.67,0.46,0.53,1,2,2,0,1,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71772M55T00,71772M55T00,REINF FRONT BUMPER SIDE R,67.84,1,THN,1.64,4,3,0,0,2,0,0.67,0.55,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71781M50S00,71781M50S00,REINF  FRONT BUMPER RH,30.36,1,THN,1.64,4,3,0,0,2,0,0.33,0.35,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71781M56R10-0PG,71781M56R10-0PG,GARNISH  FR BUMPER LOWER  R,317.62,1,THN,1.64,4,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71781M66L00,71781M66L00,HOLDER  FR BUMPER SIDE RH,43.04,5,THN,1.64,5,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71811M53M10-5PK,71811M53M10-5PK,REAR BUMPER,1342.45,1,THN,1.64,4,3,0,0,1,0,0.33,0.45,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71811M54T00-5PK,71811M54T00-5PK,BUMPER REAR,2159.16,5,THN,1.64,4,3,0,0,35,0.89,5.33,3.78,1.29,2.17,3,3,2,5,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71811M76MC0-5PK,71811M76MC0-5PK,BUMPER REAR,1782.2,1,THN,1.64,4,3,0,0,2,0,0.33,0.2,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71812M75JA0,71812M75JA0,STAY  RR LICENSE LAMP,64.61,1,THN,1.64,5,3,0,0,1,0,0.33,0.45,0,0,0,0,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71812M76T00-5PK,71812M76T00-5PK,BUMPER REAR LOWER R,106.6,1,THN,1.64,5,3,0,0,3,0,0.67,0.65,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71821M64M00-5PK,71821M64M00-5PK,BUMPER REAR LOWER(BLACK),1194.34,1,THN,1.64,4,3,0,0,6,2.03,1.33,1.02,0.79,1.03,2,2,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71821M68K00,71821M68K00,HOLDER RR BUMPER SIDE R,42.64,5,THN,1.64,5,3,,,0,,0,0,,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71821M75JA0,71821M75JA0,HOLDER  RR BUMPER SIDE RH,59.5,1,THN,1.64,4,3,0,0,2,0,0.33,0.35,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71821M81R00,71821M81R00,HOLDER RR BUMPER SIDE R,49.1,1,THN,1.64,5,3,0,0,3,0,0.33,0.35,0,0,0,0,3,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71821M83K00,71821M83K00,HOLDER  RR BUMPER SIDE RH,51.68,5,THN,1.64,5,3,0,0,1,0,0.33,0.45,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71822M66R00,71822M66R00,HOLDER RR BUMPER SIDE L,45.87,1,THN,1.64,5,3,0,0,4,0,0.67,0.8,0,0,0,0,4,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71831M64M00,71831M64M00,HOLDER RR BUMPER SIDE R,49.1,1,THN,1.64,4,3,0,0,4,0,1,0.7,0,0,0,0,4,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71841M76T00,71841M76T00,BRACKET RR BUMPER SIDE R,39.41,1,THN,1.64,5,3,0,0,4,0,0.33,0.35,0,0,0,0,3,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71871M72S00-PER,71871M72S00-PER,GARNISH RR BUMPER LOWER,384.4,1,THN,1.64,5,3,7,7,7,2.67,1.33,0.74,1.03,1.23,2,2,5,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,71871M82P00-5PK,71871M82P00-5PK,GARNISH RR BUMPER LOWER,471.59,1,THN,1.64,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72110M51U00-C48,72110M51U00-C48,GRILLE COMP RADIATOR UPPER,1704.38,1,THN,1.64,4,3,0,0,11,1.13,2,1.33,0.58,1,1,1,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72123M82S00-5PK,72123M82S00-5PK,MOLDING RADIATOR GRILLE SIDE R,80.24,1,THN,1.64,5,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72211M79M00-5PK,72211M79M00-5PK,FLAP MUD FRONT R,205.73,1,THN,1.64,5,3,0,0,1,0,0.33,0.35,0,0,0,0,2,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72320M51U00,72320M51U00,LINING COMP FRONT FENDER R,293.95,1,THN,1.64,5,3,15,7,11,1.34,2,1.26,1.03,1.37,2,2,9,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72321M50S00,72321M50S00,LINING  FRONT FENDER RH,393.09,1,THN,1.64,4,3,0,0,3,0,0.33,0.35,0,0,0,0,1,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72321M64M00,72321M64M00,LINING FRONT FENDER R,575.49,1,THN,1.64,4,3,0,0,5,1.33,1.67,1.19,0.61,1,1,1,3,0,0,0,0,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72321M69R00,72321M69R00,LINING FRONT FENDER R,207.55,1,THN,1.64,4,3,15,7,9,2.03,1.33,0.84,0.85,1.05,2,2,2,0,1,1,1,AML,12658,AML,Old Part,N
SOQ_18-12-2025,72321M72S00,72321M72S00,LINING FRONT FENDER R,290.72,1,THN,1.64,4,3,0,0,4,0,1.33,0.6,0,0,0,0,4,0,0,0,0,AML,12658,AML,Old Part,N
